sintoma,enfermedad
Orina turbia o con olor fuerte, infección urinaria
Dolor en la parte baja de la espalda, infección urinaria
Fiebre alta, dengue
Dolor muscular y articular, dengue
Erupción cutánea, dengue
Náuseas, dengue
Vómitos, dengue
Fiebre, malaria
Escalofríos, malaria
Sudoración, malaria
Dolor muscular y articular, malaria
Fatiga, malaria
Tos persistente, tuberculosis
Fiebre, tuberculosis
Pérdida de peso, tuberculosis
Fatiga, tuberculosis
Sudores nocturnos, tuberculosis
Fatiga, hepatitis A
Náuseas, hepatitis A
Vómitos, hepatitis A
Dolor abdominal, hepatitis A
Orina oscura, hepatitis A
Heces pálidas, hepatitis A
Picazón en la piel, hepatitis A
Fatiga, hepatitis B
Náuseas, hepatitis B
Vómitos, hepatitis B
Dolor abdominal, hepatitis B
Orina oscura, hepatitis B
Heces pálidas, hepatitis B
Ictericia, hepatitis B
Fatiga, hepatitis C
Náuseas, hepatitis C
Vómitos, hepatitis C
Dolor abdominal, hepatitis C
Orina oscura, hepatitis C
Heces pálidas, hepatitis C
Ictericia, hepatitis C
Diarrea, VIH/SIDA
Candidiasis oral, VIH/SIDA
Erupción cutánea en forma de diana, enfermedad de Lyme
Fiebre, enfermedad de Lyme
Dolor de cabeza, enfermedad de Lyme
Fatiga, enfermedad de Lyme
Dolor muscular y articular, enfermedad de Lyme
